PNeID,RA,DEC,Vrad,rmsVrad
NGC4374-001,186.1535,12.874,754,23
NGC4374-002,186.16158,12.89208,670,23
NGC4374-003,186.16558,12.89906,1085,23
NGC4374-004,186.173,12.86503,807,23
NGC4374-005,186.17446,12.90778,835,23
NGC4374-006,186.17854,12.88431,847,23
NGC4374-007,186.18133,12.85289,1252,23
NGC4374-008,186.1815,12.90414,1021,23
NGC4374-009,186.182,12.86403,1191,23
NGC4374-010,186.18367,12.89108,1243,23
NGC4374-011,186.18479,12.85575,768,23
NGC4374-012,186.18683,12.88967,881,23
NGC4374-013,186.18858,12.91592,661,23
NGC4374-014,186.19071,12.93433,1149,23
NGC4374-015,186.19196,12.85192,896,23
NGC4374-016,186.19367,12.88522,1036,23
NGC4374-017,186.19371,12.92467,1285,23
NGC4374-018,186.19587,12.84683,1056,24
NGC4374-019,186.19608,12.92914,1048,23
NGC4374-020,186.20067,12.88553,1529,23
NGC4374-021,186.20279,12.86661,1062,23
NGC4374-022,186.20325,12.94019,711,23
NGC4374-023,186.20521,12.90319,903,23
NGC4374-024,186.20529,12.91722,732,23
NGC4374-025,186.20592,12.92647,1159,23
NGC4374-026,186.20612,12.90619,999,23
NGC4374-027,186.20617,12.95225,964,23
NGC4374-028,186.20712,12.92897,1197,23
NGC4374-029,186.20788,12.83464,1107,23
NGC4374-030,186.20975,12.87169,1222,23
NGC4374-031,186.20979,12.95556,782,23
NGC4374-032,186.21,12.91478,1355,23
NGC4374-033,186.21033,12.90506,1258,23
NGC4374-034,186.21067,12.90958,941,23
NGC4374-035,186.21079,12.86628,1054,23
NGC4374-036,186.21146,12.88744,1045,23
NGC4374-037,186.21254,12.85375,1160,23
NGC4374-038,186.21333,12.88431,1034,23
NGC4374-039,186.2145,12.86197,1583,23
NGC4374-040,186.215,12.92186,1210,23
NGC4374-041,186.21517,12.89078,1076,23
NGC4374-042,186.21525,12.84358,1215,23
NGC4374-043,186.21546,12.87397,860,23
NGC4374-044,186.21575,12.88453,1024,23
NGC4374-045,186.21642,12.903,1014,23
NGC4374-046,186.21708,12.91186,1039,23
NGC4374-047,186.21862,12.94281,1214,23
NGC4374-048,186.21929,12.88931,987,23
NGC4374-049,186.21933,12.92806,1121,23
NGC4374-050,186.21954,12.89556,777,23
NGC4374-051,186.21971,12.84406,1188,24
NGC4374-052,186.22,12.94664,1257,23
NGC4374-053,186.22062,12.82367,647,23
NGC4374-054,186.22075,12.84228,790,23
NGC4374-055,186.22092,12.92394,748,23
NGC4374-056,186.22104,12.87658,1469,23
NGC4374-057,186.22133,12.82011,1105,23
NGC4374-058,186.22175,12.86919,1126,23
NGC4374-059,186.22212,12.90792,969,23
NGC4374-060,186.22242,12.85611,1435,23
NGC4374-061,186.22271,12.83903,1137,23
NGC4374-062,186.22283,12.92025,1280,23
NGC4374-063,186.22292,12.83683,1204,23
NGC4374-064,186.22292,12.86628,1332,23
NGC4374-065,186.22425,12.82944,1137,23
NGC4374-066,186.22483,12.88375,1546,23
NGC4374-067,186.22517,12.87572,726,23
NGC4374-068,186.22575,12.91781,958,23
NGC4374-069,186.22596,12.85111,1041,23
NGC4374-070,186.22612,12.84367,1007,23
NGC4374-071,186.22679,12.83739,1096,23
NGC4374-072,186.22767,12.87167,1310,23
NGC4374-073,186.22833,12.91842,832,23
NGC4374-074,186.22862,12.89844,1039,23
NGC4374-075,186.22862,12.91297,735,23
NGC4374-076,186.22883,12.84297,1140,23
NGC4374-077,186.22946,12.89692,911,23
NGC4374-078,186.22954,12.86389,918,23
NGC4374-079,186.22958,12.91281,1241,23
NGC4374-080,186.22958,12.87942,1439,23
NGC4374-081,186.22971,12.87447,1187,24
NGC4374-082,186.22996,12.86986,1256,23
NGC4374-083,186.23162,12.85828,1161,24
NGC4374-084,186.23183,12.88603,1502,23
NGC4374-085,186.23212,12.88728,1076,23
NGC4374-086,186.23233,12.92347,446,23
NGC4374-087,186.23267,12.89222,1043,23
NGC4374-088,186.23283,12.86467,975,23
NGC4374-089,186.23292,12.99422,788,25
NGC4374-090,186.23308,12.88208,1393,23
NGC4374-091,186.23308,12.99631,1265,23
NGC4374-092,186.23325,12.91661,1327,23
NGC4374-093,186.23346,12.89222,1038,23
NGC4374-094,186.23433,12.88878,1422,23
